stock_id,date,F_INST_01_foreign,F_INST_02_trust,F_INST_03_dealer_self,F_INST_04_dealer_hedge,F_INST_05_aggregate,F_INST_06_value_proxy,F_INST_07_flow_to_volume,F_INST_08_streak,F_INST_09_change_rate,F_INT_01_flow_x_momentum,F_INT_02_flow_x_size,F_INT_03_flow_x_liquidity,F_INST_01_foreign_rank,F_INST_02_trust_rank,F_INST_03_dealer_self_rank,F_INST_04_dealer_hedge_rank,F_INST_05_aggregate_rank,F_INST_06_value_proxy_rank,F_INST_09_change_rate_rank,version,build_date
1101,2024-10-25,1000,279970,-188000,-70745,22225,712311.2499999999,0.0045182158810663274,1,-0.9893953487928233,0.1472,0.1024,0.032,0.34,0.86,0.1,0.16,0.32,0.32,0.22,v0.1,2026-07-11T07:49:09Z
1101,2024-10-28,540020,420578,186000,-6901,1139697,36641258.55,0.17837210958402425,2,-0.36015442567897876,0.26039999999999996,0.186,0.062,0.6,0.86,0.68,0.42,0.62,0.46,0.38,v0.1,2026-07-11T07:49:09Z
1101,2024-10-29,-3020858,1633238,-101698,-89937,-1579255,-50694085.5,-0.1325198760304295,-1,-1.9522469776843878,0.1824,0.1292,0.038000000000000006,0.22,0.84,0.56,0.3,0.38,0.58,0.36,v0.1,2026-07-11T07:49:09Z
1101,2024-10-30,-195579,714820,62000,-18000,563241,17995549.95,0.0912826548353596,1,-0.421708738605709,0.222,0.2368,0.08879999999999999,0.52,0.84,0.66,0.26,0.74,0.6,0.44,v0.1,2026-07-11T07:49:09Z
1101,2024-11-01,-560794,1350000,-96290,36929,729845,23428024.5,0.04701669202242026,2,4.151982222592428,0.1872,0.23399999999999999,0.0468,0.5,0.82,0.42,0.58,0.78,0.64,0.9,v0.1,2026-07-11T07:49:09Z
1101,2024-11-04,4220710,1278000,16000,-11968,5502742,178563977.9,0.5077095101134701,3,14.290038793728037,0.24599999999999997,0.26239999999999997,0.049199999999999994,0.84,0.86,0.8,0.54,0.82,0.76,0.98,v0.1,2026-07-11T07:49:09Z
1101,2024-11-05,3266709,-204000,-27000,-74000,2961709,96403627.94999999,0.39072961611199025,4,6.618382375165028,0.1872,0.23399999999999999,0.0468,0.8,0.08,0.52,0.2,0.78,0.62,0.84,v0.1,2026-07-11T07:49:09Z
1101,2024-11-06,-135603,-1096000,-176,-61453,-1293232,-41448085.599999994,-0.19489770083069097,-1,-4.590460527914016,0.0484,0.06160000000000001,0.0132,0.42,0.06,0.38,0.22,0.22,0.4,0.12,v0.1,2026-07-11T07:49:09Z
1101,2024-11-07,-1634334,-834320,10001,12818,-2445835,-78144428.25,-0.2760888551348936,-2,-11.962862925609985,0.021599999999999998,0.033600000000000005,0.0072,0.18,0.06,0.36,0.44,0.12,0.4,0.04,v0.1,2026-07-11T07:49:09Z
1101,2024-11-08,-826950,526000,0,56952,-243998,-7783536.199999999,-0.04219592871665738,-3,-1.9339917008032588,0.12320000000000002,0.12320000000000002,0.0264,0.36,0.82,0.32,0.82,0.44,0.54,0.3,v0.1,2026-07-11T07:49:09Z
1101,2024-11-11,135001,1052000,-127,29044,1215918,39213355.5,0.13996018923064935,1,2.461889316845733,0.21280000000000002,0.21280000000000002,0.0456,0.68,0.84,0.48,0.64,0.76,0.66,0.86,v0.1,2026-07-11T07:49:09Z
